GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Veteran_EST,Veteran_MOE,Veteran_EST_Percentage,Veteran_MOE_Percentage
6037240300,3393,447,47,42,1.4,1
6037541604,4199,364,47,73,1.1,0.8
6037920023,2110,171,47,130,2.2,1.3
6037108104,1482,171,48,12,3.2,2
6037134905,3636,302,48,25,1.3,1
6037228600,3245,357,48,39,1.5,1.5
6037277200,1988,201,48,46,2.4,2
6037404503,2206,214,48,53,2.2,1.1
6037408301,4404,436,48,56,1.1,0.8
6037430802,3514,418,48,57,1.4,1
6037433902,2520,241,48,59,1.9,1
6037461700,1304,85,48,60,3.7,1.7
6037540202,4689,354,48,72,1,1.3
6037541802,3925,388,48,73,1.2,1.2
6037920026,359,195,48,130,13.4,10.4
6037104201,3641,338,49,9,1.3,0.7
6037108101,1997,148,49,12,2.5,1.7
6037127103,2319,271,49,21,2.1,1.9
6037127604,2482,234,49,21,2,0.9
6037143902,2493,178,49,27,2,1.4
6037195500,4445,384,49,31,1.1,1
6037197500,3178,248,49,32,1.5,1.3
6037204300,3466,345,49,33,1.4,1
6037216401,3799,442,49,37,1.3,1.3
6037302505,3392,253,49,49,1.4,1.4
6037480903,2453,196,49,62,2,1.6
6037554101,2629,319,49,78,1.9,1.4
6037113235,1422,130,50,13,3.5,1.9
6037190202,3237,320,50,29,1.5,1.5
6037191110,3557,506,50,30,1.4,1.3
6037201401,3679,305,50,32,1.4,1
6037222500,3798,357,50,38,1.3,1
6037300702,4162,367,50,48,1.2,1
6037403200,643,436,50,52,7.8,5.8
6037404901,4517,347,50,53,1.1,0.9
6037405201,3718,344,50,54,1.3,0.9
6037430200,1004,115,50,57,5,1.6
6037501001,2650,311,50,64,1.9,1.2
6037540501,5354,385,50,72,0.9,0.7
6037552400,1870,183,50,77,2.7,1.4
6037670406,1541,111,50,99,3.2,1.6
6037123303,2502,199,51,18,2,1.3
6037127220,3690,235,51,21,1.4,1.1
6037199000,4166,473,51,32,1.2,1
6037208720,3409,317,51,34,1.5,1.1
6037212101,2725,288,51,35,1.9,1.6
6037228710,2590,241,51,39,2,1.1
6037243100,3864,390,51,43,1.3,1.4
6037302002,3201,292,51,49,1.6,1.2
6037402303,2866,256,51,51,1.8,1.2
6037404703,2374,197,51,53,2.1,1.4
6037433402,3413,428,51,59,1.5,1.2
6037481102,3149,276,51,62,1.6,1.1
