GEOID,Veteran_Percent_EST
6037302103,1.2
6037302104,1.3
6037302201,0
6037302202,0.7
6037302301,3.2
6037302302,1.3
6037302401,3.2
6037302503,1
6037302504,1.9
6037302505,1.4
6037302506,2.6
6037310100,7.1
6037310201,2.7
6037310202,2.2
6037310300,10.3
6037310400,4.7
6037310501,1
6037310601,1.1
6037310602,5.3
6037310701,1.7
6037310702,2.7
6037310703,2.6
6037310800,4.8
6037310900,5.7
6037311000,3.3
6037311100,4
6037311200,8.4
6037311300,3.9
6037311400,5.7
6037311500,7.8
6037311600,3.3
6037311700,9.2
6037311801,5.7
6037311802,4.8
6037320000,-
6037320100,3.1
6037320201,3.8
6037320202,3.6
6037320300,1.9
6037400204,6.6
6037400205,5.9
6037400206,8.1
6037400207,7.2
6037400302,7.4
6037400304,5.1
6037400402,6.3
6037400403,4.5
6037400404,8.6
6037400501,6.8
6037400602,2.9
6037400603,2.9
6037400604,3.2
6037400800,2.6
6037400900,6.3
6037401001,8.1
6037401002,7.6
6037401101,3.7
6037401102,5.9
6037401201,7.4
6037401202,7.9
6037401203,5.3
6037401303,5.7
6037401304,5.4
6037401311,4.3
6037401312,9.4
6037401500,5.3
6037401601,9.3
6037401602,7.3
6037401603,7.9
6037401701,8.3
6037401703,5.3
6037401704,3.8
6037401800,9.5
6037401901,0.1
6037401902,4.7
6037402001,6.8
6037402002,5.2
6037402101,4.4
6037402102,4.3
6037402200,4.4
6037402301,3.4
6037402303,1.8
6037402304,1.8
6037402402,1.8
6037402403,2.1
6037402404,0
6037402405,6.9
6037402406,1.9
6037402501,0.4
6037402502,1.9
6037402600,5.2
6037402702,1.1
6037402703,2.6
6037402705,3
6037402706,1.1
6037402801,1.3
6037402803,2.1
6037402804,1.4
6037402902,1.7
6037402903,2.6
6037402904,4.9
6037403000,2.9
6037403200,7.8
6037403303,5
6037403304,5.2
6037403305,4.9
6037403312,3.8
6037403316,4.6
6037403317,5.1
6037403318,3
6037403319,6.2
6037403320,3.3
6037403321,4.2
6037403322,3.9
6037403323,4.2
6037403324,1.4
6037403325,2.9
6037403401,4
6037403402,5
6037403403,4.5
6037403404,3.7
6037403405,4.4
6037403406,4.4
6037403407,2.2
6037403408,3.1
6037403500,4.4
6037403600,7.7
6037403702,6.4
6037403703,6.6
6037403721,6.2
6037403722,7.1
6037403801,4.9
6037403802,5.1
6037403901,4.8
6037403902,4.6
6037404000,4.6
6037404100,3.3
6037404201,5.2
6037404202,2.3
6037404301,4.9
6037404302,1.8
6037404401,2
6037404402,3.2
6037404501,3.5
6037404503,2.2
6037404504,4.7
6037404600,3.7
6037404701,0.3
6037404702,1.9
6037404703,2.1
6037404801,1.7
6037404802,3.8
6037404803,2.3
6037404901,1.1
6037404902,2
6037404903,3.1
6037405001,2
6037405002,1.1
6037405101,2.2
6037405102,2.2
6037405201,1.3
6037405202,2
6037405203,2.6
6037405301,7.6
6037405302,3.9
6037405400,5.4
6037405500,3.6
6037405600,5.1
6037405701,1.6
6037405702,6.8
6037405800,3.8
6037405900,4.6
6037406000,3.6
6037406101,3.6
6037406102,4.5
6037406200,2.6
6037406300,2.8
6037406402,5.7
6037406411,4.1
6037406412,8.5
6037406500,6.9
6037406601,4.4
6037406602,4.3
6037406701,5.2
6037406702,2.6
6037406800,3.7
6037406901,5.6
6037406902,1.9
6037407001,4.1
6037407002,3.3
6037407101,3.8
6037407102,3.5
6037407200,3.9
6037407301,5.2
6037407302,3.2
6037407400,4.6
6037407501,2.2
6037407502,2.3
6037407601,2
6037407602,2.9
6037407701,2.6
6037407702,4.8
6037407801,3.2
6037407802,4.4
6037407900,2.4
6037408003,3.2
6037408004,3.7
6037408005,3.3
6037408006,2.8
6037408133,2.2
6037408134,6.1
6037408135,4.8
6037408136,5.3
6037408137,3.8
6037408138,1.6
6037408139,2.7
6037408140,2.7
