GEO_id2,Civilian_EST,Civilian_MOE,Veteran_EST,Veteran_MOE
6037212304,1427,149,31,28
6037212305,2313,139,5,8
6037212306,2383,224,64,51
6037212410,3704,309,47,54
6037212420,2749,336,35,33
6037212501,1730,133,87,53
6037212502,2449,250,52,40
6037212610,3477,352,60,45
6037212620,3472,259,67,51
6037212701,2089,188,66,39
6037212702,3126,279,93,58
6037212800,3158,236,28,31
6037212900,3517,312,96,62
6037213100,2372,211,57,32
6037213201,3442,295,22,27
6037213202,3081,241,17,17
6037213310,3050,336,38,45
6037213320,2022,214,11,12
6037213401,3925,336,66,48
6037213402,3406,371,33,31
6037214000,2642,185,78,50
6037214100,2958,197,65,32
6037214400,2654,204,18,19
6037214501,2330,158,44,37
6037214502,4520,377,99,87
6037214503,2825,239,79,35
6037214600,2226,211,76,52
6037214700,2290,200,41,32
6037214800,2698,242,30,26
6037214901,2886,308,54,49
6037214902,2601,256,41,36
6037215101,2703,272,36,31
6037215102,2920,318,61,43
6037216100,2081,149,81,52
6037216200,4981,523,71,66
6037216300,4118,397,91,53
6037216401,3799,442,49,49
6037216402,2552,240,65,44
6037216700,3082,260,110,63
6037216800,2507,207,122,50
6037216900,4363,334,99,88
6037217001,2081,174,33,17
6037217002,4215,274,101,62
6037217100,5129,413,216,141
6037217200,3209,259,95,50
6037218110,2672,257,111,60
6037218120,3882,381,67,42
6037218210,2809,343,85,61
6037218220,3469,315,105,52
6037218300,4161,425,35,45
6037218400,3428,319,146,58
6037218500,2164,197,91,57
6037218600,2563,366,30,29
6037218701,1841,228,75,32
6037218702,1656,156,63,39
6037218800,2363,209,97,48
6037218900,4664,438,131,69
6037219010,2474,198,33,26
6037219020,3486,305,85,47
6037219300,2985,250,178,79
6037219500,1438,165,102,45
6037219700,3389,345,102,60
6037219800,2270,183,39,29
6037219901,3374,286,44,40
6037219902,2932,321,35,25
6037220000,4316,387,144,84
6037220100,2136,256,93,51
6037221110,2855,373,16,21
6037221120,2432,231,42,26
6037221210,2465,190,71,44
6037221220,2897,229,31,23
6037221302,4180,417,58,45
6037221303,2218,183,46,33
6037221304,2847,364,54,33
6037221401,2629,284,88,56
6037221402,2289,234,109,43
6037221500,2962,282,139,80
6037221601,2299,249,45,35
6037221602,2103,183,13,21
6037221710,2152,178,27,20
6037221810,2300,229,31,22
6037221820,2380,382,26,21
6037221900,3327,292,0,0
6037222001,2310,162,75,40
6037222002,3456,442,57,52
6037222100,3182,343,42,37
6037222200,2780,282,60,43
6037222500,3798,357,50,37
6037222600,4535,428,36,32
6037222700,4085,470,5,7
6037224010,1957,198,14,19
6037224020,1958,228,0,0
6037224200,1915,217,3,7
6037224310,1419,141,24,28
6037224320,2412,245,18,29
6037224410,2844,368,26,28
6037224420,1940,210,23,21
6037224600,2453,211,35,30
6037224700,6392,457,18,16
6037226001,1649,205,5,9
6037226002,1563,145,28,26
6037226410,2522,210,4,8
6037226420,4010,372,0,0
6037226700,4686,578,0,0
6037227010,3359,392,13,21
6037227020,2494,235,32,26
6037228100,3430,438,11,17
6037228210,2768,244,36,25
6037228220,2919,210,31,30
6037228310,3182,246,16,14
6037228320,2160,252,32,29
6037228410,2472,258,0,0
6037228420,2201,266,0,0
6037228500,3408,385,73,58
6037228600,3245,357,48,48
6037228710,2590,241,51,28
6037228720,3126,291,24,19
6037228800,3481,328,52,33
6037228900,1760,191,12,14
6037229100,3509,298,7,10
6037229200,3346,399,61,46
6037229300,3662,295,46,39
6037229410,2249,250,0,0
6037229420,3134,248,35,24
6037231100,2637,489,57,77
6037231210,2544,303,30,38
6037231220,3333,414,30,27
6037231300,4160,400,96,73
6037231400,4148,584,130,72
6037231500,3722,426,90,51
6037231600,5085,378,141,69
6037231710,2751,306,24,27
6037231720,3680,342,59,48
6037231800,3403,337,43,38
6037231900,3717,405,18,30
6037232110,2154,211,21,20
6037232120,3858,325,9,18
6037232200,2406,256,94,59
6037232300,3915,1088,148,75
6037232400,5341,394,165,90
6037232500,3407,494,150,79
6037232600,4441,423,68,59
6037232700,4553,413,81,51
6037232800,2646,252,4,6
6037234000,4182,325,183,69
6037234200,2001,140,55,33
6037234300,3512,318,200,94
6037234501,2063,239,115,49
6037234502,2329,327,126,67
6037234600,3750,329,134,55
6037234700,2929,395,136,69
6037234800,2808,241,107,74
6037234901,1853,213,71,58
6037234902,2896,345,87,91
6037235100,3979,268,162,76
6037235201,2317,204,161,54
6037235202,3606,277,161,83
