GEO_id2,civ_std_err,tot_pop_std_err,vet_std_err,tot_pop_std_err2
6037270200,130.09,130.09,26.67,130.09
6037301206,130.09,130.09,28.48,130.09
6037408006,130.09,130.09,32.73,130.09
6037532101,130.09,130.09,40.61,130.09
6037553000,130.09,130.09,46.06,130.09
6037553100,130.09,130.09,46.06,130.09
6037554519,130.09,130.09,47.27,130.09
6037574400,130.09,130.09,50.3,130.09
6037141500,130.7,130.7,14.55,130.7
6037183620,130.7,130.7,15.76,130.7
6037189702,130.7,130.7,16.36,130.7
6037401311,130.7,130.7,30.3,130.7
6037503801,130.7,130.7,39.39,130.7
6037113233,131.31,131.31,7.27,131.31
6037117407,131.31,131.31,7.27,131.31
6037265100,131.31,131.31,25.45,131.31
6037302503,131.31,131.31,29.09,131.31
6037575401,131.31,131.31,50.3,131.31
6037576401,131.31,131.31,50.91,131.31
6037106641,131.91,131.91,3.64,131.91
6037197600,131.91,131.91,18.18,131.91
6037267200,131.91,131.91,26.06,131.91
6037650603,131.91,131.91,56.97,131.91
6037181300,132.52,132.52,15.15,132.52
6037238100,132.52,132.52,24.24,132.52
6037403316,132.52,132.52,30.91,132.52
6037403600,132.52,132.52,31.52,132.52
6037405201,132.52,132.52,32.12,132.52
6037460800,132.52,132.52,35.15,132.52
6037535804,132.52,132.52,42.42,132.52
6037237600,133.13,133.13,24.24,133.13
6037310701,133.13,133.13,29.7,133.13
6037503501,133.13,133.13,38.79,133.13
6037554105,133.13,133.13,46.67,133.13
6037621324,133.13,133.13,56.36,133.13
6037463400,133.74,133.74,35.76,133.74
6037501600,133.74,133.74,38.18,133.74
6037119340,134.35,134.35,7.27,134.35
6037186401,134.35,134.35,15.76,134.35
6037197500,134.35,134.35,18.18,134.35
6037503502,134.35,134.35,38.79,134.35
6037540800,134.35,134.35,43.03,134.35
6037570702,134.35,134.35,48.48,134.35
6037181400,134.95,134.95,15.15,134.95
6037192510,134.95,134.95,17.58,134.95
6037302002,134.95,134.95,29.09,134.95
6037432602,134.95,134.95,34.55,134.95
6037550601,134.95,134.95,44.85,134.95
6037574201,134.95,134.95,50.3,134.95
6037701902,134.95,134.95,60.61,134.95
6037800324,134.95,134.95,63.03,134.95
6037800328,134.95,134.95,63.64,134.95
6037910713,134.95,134.95,72.12,134.95
6037910716,134.95,134.95,72.73,134.95
6037123601,135.56,135.56,9.7,135.56
6037191810,135.56,135.56,16.97,135.56
6037192520,135.56,135.56,17.58,135.56
6037195400,135.56,135.56,17.58,135.56
6037273502,135.56,135.56,27.27,135.56
6037403408,135.56,135.56,31.52,135.56
6037407101,135.56,135.56,32.12,135.56
6037534802,135.56,135.56,41.82,135.56
6037651402,135.56,135.56,58.18,135.56
6037670326,135.56,135.56,58.18,135.56
6037920031,135.56,135.56,75.76,135.56
6037920329,135.56,135.56,83.64,135.56
6037101122,136.17,136.17,1,136.17
6037127520,136.17,136.17,10.91,136.17
6037191820,136.17,136.17,16.97,136.17
6037237202,136.17,136.17,24.24,136.17
6037407200,136.17,136.17,32.73,136.17
6037576001,136.17,136.17,50.91,136.17
6037600502,136.17,136.17,52.12,136.17
6037124903,136.78,136.78,10.3,136.78
